Domain,from,to
central,central_addresses,finance_financial_reports
central,central_checkout_orders,fintech_payouts
central,central_customer_pickup_orders,central_order_descriptors
central,central_dispatched_partner_orders,central_order_descriptors
central,central_geography,central_order_descriptors
central,central_marketplace_orders,central_order_descriptors
central,central_order_descriptors,finance_financial_metrics
central,central_users,central_order_descriptors
contact,contact__financial_customer_compensations,finance_financial_metrics
contact,contact_compensation_distribution,contact__financial_customer_compensations
contact,contact_order_customer_compensations,contact_order_incident_facts
contact,contact_order_cancellations_incidents,contact_order_incident_facts
contact,contact_order_incident_facts,contact_compensation_distribution
contact,contact_order_refund_incidents,finance__partner_commissions
contact,herocare_contacts,finance_financial_reports
core,sensitive_tech__customer_checkout_order_submission_v0,central_checkout_orders
courier,courier_core_cpo,finance_financial_metrics
courier,courier_delivery_flow,finance_financial_metrics
courier,courier_glovo_maps,central_order_descriptors
courier,courier_order_management,finance_financial_metrics
courier,courier_rewards,growth_pricing_discounts
finance,Invoicing,"finance__erp_cae,customer,orders,vendors"
finance,finance__delivery_and_service_revenue,finance_financial_reports
finance,finance__partner_commissions,finance_financial_reports
finance,finance__pnl_spreadsheet_ingestion,finance_financial_reports
finance,finance__product_vat_optimization,finance__pvat_product_discounts
finance,finance__pvat_product_discounts,finance_financial_metrics
finance,finance_exchange_rates,finance__delivery_and_service_revenue
finance,finance_financial_metrics,finance_financial_reports
finance,finance_financial_reports,DH Posting
finance,finance_financial_reports,Invoicing
finance,finance_financial_reports,P&L
finance,finance_financial_reports,fintech__financial_actors
finance,fintech__checkout_orders,finance_financial_metrics
finance,fintech_devices,central_order_descriptors
finance,fintech_order_partner_compensations,finance_financial_metrics
finance,fintech_payments,finance_financial_metrics
finance,fintech_payouts,finance_financial_metrics
finance,sensitive_fintech__checkout_orders__internal,central_checkout_orders
finance,tech__fintech_invoicing_mfc_order_product_vat_v0,finance__pvat_product_discounts
finance,tech__fintech_invoicing_product_vat_optimization_v0,finance__product_vat_optimization
finance,tech__orders_payments_payment_results_v0,fintech_payments
finance,tech__payments_debt_collector_updates_v0,fintech_payments
finance,tech__payments_recurrent_payments_update_v0,fintech_payments
growth,growth__discounted_service_fees,finance_financial_metrics
growth,growth__gc_customer_incentives,finance_financial_metrics
growth,growth__prime_vendor_commission,finance_financial_metrics
growth,growth_adjust,finance_financial_metrics
growth,growth_discounts,growth_pricing_discounts
growth,growth_pricing_discounts,finance__partner_commissions
growth,growth_pricing_sources,growth_pricing_discounts
growth,growth_prime,finance_financial_reports
growth,tech__cdc_monolith_v0_glovo_live_order_pricing_partner_promotion_comm,finance__partner_commissions
growth,growth_partner_promotion_commission_strategy,finance__partner_commissions
logistics,logistics__gc_orders,finance_financial_metrics
logistics,logistics__gc_rider_payments,finance_financial_metrics
logistics,logistics__gc_riders,finance_financial_metrics
logistics,logistics__gr_efficiency,finance_financial_reports
logistics,logistics_rider_compensations,growth_pricing_discounts
mfc,mfc_dh_curated,mfc_sales
mfc,mfc_sales,finance_financial_metrics
partner,partner_intelligence,finance_financial_metrics
partner,partner_lifecycle,finance_financial_reports
partner,partner_stores,central_order_descriptors
